ten_benh,trieu_chung_goc,symptoms_extract,negated_symptoms,duration,icd_code,icd_name,confidence
amh thấp,"một số triệu chứng thường gặp cảnh báo dấu hiệu dự trữ buồng trứng thấp ở phụ nữ như: vô kinh hoặc rối loạn kinh nguyêt; có triệu chứng hoặc dấu hiệu thiếu hụt estrogen (ví dụ: loãng xương, viêm âm đạo do teo, giảm ham muốn tình dục). họ cũng có thể có những thay đổi trong tâm trạng, bao gồm cả trầm cảm. một số phụ nữ bị có những triệu chứng tương tự như mãn kinh tự nhiên, bao gồm chóng mặt, buồn nôn, mất ngủ, cơn bốc hỏa, vã mồ hôi về đêm, dễ kích động, khó tập trung tư tưởng, đau khi quan hệ tình dục, âm đạo khô, giảm ham muốn tình dục, luôn né tránh chuyện giường chiếu, mất khả năng sinh sản, rối loạn tiết niệu (tiểu nhiều lần, són tiểu ).","vã mồ hôi
trầm cảm
viêm âm đạo do teo
rối loạn tiết niệu
giảm ham muốn tình dục
mất khả năng sinh sản
buồn nôn
khó tập trung tư tưởng
đau khi quan hệ tình dục
tiểu nhiều lần
rối loạn kinh nguyệt
nôn
loãng xương
mất ngủ
chóng mặt
vô kinh
són tiểu",Không có,không có,I95,Huyết áp thấp (Hạ huyết áp),0.4866
áp xe gan,"những triệu chứng áp xe gan không xuất hiện ngay, nhưng khi xuất hiện sẽ là biểu hiện lâm sàng rất nghiêm trọng. những triệu chứng nguy hiểm của bệnh áp xe gan gồm: (2) buồn nôn, nôn sụt cân, chán ăn vã nhiều mồ hôi vàng da sốt cao kèm theo rét run: sốt 39 c 40 c trong giai đoạn cấp tính của bệnh, sau đó giảm xuống và kéo dài đau tức ở hạ sườn phải hoặc cảm giác căng tức nặng ở vùng hạ sườn phải: đây là triệu chứng do gan to. khi ổ áp xe to cấp tính, cơn đau sẽ lan đến vùng thượng vị hay toàn bộ vùng bụng người bệnh cảm thấy đau khi ấn kẽ sườn 11- 12","vàng da
chán ăn
buồn nôn
sốt
sụt cân
đau tức ở hạ sườn phải
căng tức nặng ở vùng hạ
đau khi ấn kẽ sườn 11-12",Không có,không có,K75.0,Áp xe gan,0.9543
áp xe hậu môn,"áp xe hậu môn có thể dễ dàng được nhận biết thông qua một số triệu chứng phổ biến sau: sub kênh tiêu hóa tâm anh đau nhói liên tục hoặc âm ỉ ở vùng hậu môn, có thể kèm theo hiện tượng sưng tấy, đau dữ dội khi đi vệ sinh. táo bón. trực tràng tiết dịch bất thường hoặc chảy máu. sưng hoặc đau vùng da xung quanh hậu môn. cơ thể mệt mỏi, sốt, ớn lạnh. sờ thấy khối u sưng đỏ và mềm ở vành hậu môn. đau hoặc khó chịu ở vùng bụng (thường xảy ra ở người bị bệnh viêm ruột). ở trẻ sơ sinh, áp xe thường xuất hiện dưới dạng nốt sưng đỏ, mềm ở rìa hậu môn, khiến trẻ quấy khóc, cáu kỉnh vì khó chịu, ngoài ra không có các triệu chứng bất thường khác.","áp xe hậu môn
đau nhói
đau dữ dội
sưng tấy
sưng đỏ
mềm ở vành hậu môn
khó chịu ở vùng bụng
mệt mỏi
sốt
ớn lạnh
chảy máu
đau hoặc khó chịu ở vùng",Không có,không có,K61.0,Áp xe hậu môn,1.0
áp xe má,"các triệu chứng áp xe má phần lớn phụ thuộc vào nguyên nhân của bệnh: áp xe khoang má 2 bên do răng thường làm sưng mặt và vùng má. vùng bị áp xe thường kéo dài từ vòm miệng qua 2 bên mang tai và xuống dưới hàm gây chèn ép, đau và khó thở. áp xe má kéo dài, có thể dẫn đến sốt, xuất hiện mủ bên trong và khi nắn khối áp xe cảm thấy đau nhói. (1) khi nguyên nhân gây áp xe má là các bệnh về răng miệng, sẽ đi kèm các triệu chứng sau: đau khi mở miệng, ăn uống và nói chuyện, há miệng hạn chế. vùng nướu tương ứng đỏ và sưng tấy gây đau nhức. khi chạm vào có cảm giác căng và đau. phát hiện răng sâu hoặc răng lệch ngầm tương ứng với bên má bị sưng.","sưng mặt và vùng má
đau nhức
đau nhói
chèn ép
đau
khó thở
sốt
căng và đau
cảm giác căng và đau",Không có,không có,K82.9,áp xe má không phân biệt nguyên nhân,0.6335
áp xe não,"các triệu chứng áp xe não có thể phát triển nhanh hoặc chậm, bao gồm: (1) nhức đầu (thường diễn ra nghiêm trọng), xuất hiện ở một phần duy nhất của đầu và không giảm bớt khi dùng thuốc giảm đau. thay đổi trạng thái tinh thần ví dụ như nhầm lẫn hoặc khó chịu. gặp các vấn đề về chức năng thần kinh ví dụ như yếu cơ, nói lắp hoặc tê liệt ở một bên cơ thể. sốt cao. co giật. cảm thấy mệt mỏi. cổ cứng. thay đổi thị lực ví dụ như nhìn mờ hoặc nhìn đôi (do áp xe gây áp lực lên dây thần kinh thị giác).","nhức đầu
thay đổi trạng thái tinh thần
chức năng thần kinh
sốt
liệt cơ thể
yếu cơ
nói lắp
tê liệt
mệt mỏi
cổ cứng
thay đổi thị lực
mờ
nhìn đôi",Không có,không có,B43.1,Áp xe não do Pseudomonas (phaeomyces),0.7318
áp xe phổi,"giai đoạn 1: giai đoạn viêm hầu hết các trường hợp đều bắt đầu rầm rộ như một bệnh viêm phổi nặng, người bệnh sốt cao lên tới 39-40 độ c kèm theo môi khô, lưỡi bẩn, hơi thở có mùi hôi. một số bệnh nhân có thể xuất hiện triệu chứng tiểu tiện ít, nước tiểu sẫm màu. một số ít trường hợp khác lại khởi phát từ từ như hội chứng cúm. giai đoạn 2: giai đoạn ộc mủ đây là giai đoạn các triệu chứng áp xe phổi thể hiện rõ ràng nhất, giúp chẩn đoán tình trạng bệnh chính xác. triệu chứng bệnh có thể xuất hiện sớm 5 6 ngày, hoặc có thể xảy ra rất muộn khoảng 50 60 ngày sau giai đoạn khởi phát bệnh. các triệu chứng gồm ho, đau vùng ngực. người bệnh có thể ho mủ, mủ có thể ộc ra nhiều khoảng 300 500ml trong vòng 24 giờ hoặc mủ khạc ít nhưng kéo dài. tính chất mủ: nếu tác nhân gây bệnh là virus, mủ sẽ có mùi thối; tác nhân là amip thì mủ có màu như socola; còn do áp xe đường mật gây vỡ thông lên phổi thì mủ có màu vàng như mật. người bệnh sau ộc mủ có thể thấy triệu chứng sốt giảm dần, cảm thấy dễ chịu hơn. trường hợp đã khạc mủ nhiều lần mà nhiệt độ vẫn cao, có thể là do còn ổ áp xe khác chưa vỡ mủ. giai đoạn 3: giai đoạn thành hang ở giai đoạn này, người bệnh có thể vẫn còn khạc mủ nhưng ít hơn. nếu thân nhiệt người bệnh tăng lên một cách đột ngột, chứng tỏ có thể mủ dẫn lưu kém, còn ứ lại nhiều trong phổi.","sốt
tiểu tiện ít
nước tiểu sẫm màu
đau vùng ngực
tăng lên đột ngột
giảm dần
ho
khạc mủ nhiều lần
sốt cao","viêm hầu hết các trường hợp
viêm phổi nặng","6 ngày, 60 ngày",J85.1,Áp xe phổi có viêm phổi,0.8286
áp xe rò luân nhĩ,"rò luân nhĩ nằm gần phía trước vành tai, có khi chúng nằm dọc rìa trên gờ luân, bình tai hoặc trụ gờ luân. khi nặn lỗ rò luân nhĩ sẽ chảy ra chất bã trắng đục nên nhiều người cứ tưởng đó là mụn trứng cá. áp xe rò luân nhĩ sẽ có các dấu hiệu như sau: rò luân nhĩ có mùi hôi, chảy mủ, có dịch màu trắng đục chảy ra. lỗ rò luân nhĩ có nang to phình ra bất thường kèm theo triệu chứng đau nhức, nóng đỏ, sưng tấy gây khó chịu. nhiều người sẽ cảm thấy bị ù tai. vùng da phía ngoài có vết sưng kèm theo triệu chứng ngứa ngáy.","điều trị
cảm thấy ù tai
sưng
ngứa ngáy
trụ gờ luân
nang to phình ra bất thường
sưng tấy
đau nhức
khó chịu",Không có,không có,H83.1,Rò mê nhĩ,0.636
áp xe vú,"các dấu hiệu áp xe vú thường gặp, bao gồm: đau vú. đỏ da vú. sưng tấy. da ấm. núm vú tiết dịch. dịch chảy ra từ phần da khác của vú gọi là rò mủ. nếu người bệnh đang nhiễm trùng có thể sốt, ớn lạnh và mệt mỏi. người bệnh hãy đi khám bác sĩ nếu gặp những triệu chứng này. đồng thời, người bệnh đang được điều trị nhiễm trùng vú bằng thuốc kháng sinh nhưng trong vòng 2 ngày không cảm thấy đỡ hơn hãy đến gặp bác sĩ để được khám và điều chỉnh liệu trì phù hợp với tình trạng bản thân.","đau vú
đỏ da vú
sưng tấy
da ấm
núm vú tiết dịch
rò mủ
sốt
ớn lạnh
mệt mỏi","phù hợp với tình trạng bản
nhiễm trùng bằng thuốc kháng sinh",2 ngày,E32.1,Áp xe tuyến ức,0.6785
alzheimer,"bộ não của chúng ta được tạo thành từ hơn 100 tỷ tế bào thần kinh nhiều hơn cả các ngôi sao trong dải ngân hà. chứng mất trí nhớ làm tổn thương các tế bào thần kinh khiến chúng không còn khả năng giao tiếp hiệu quả và điều này ảnh hưởng đến cách cơ thể chúng ta hoạt động. các triệu chứng cụ thể mà một người sống chung với alzheimer trải qua sẽ phụ thuộc vào những phần nào của não bị ảnh hưởng hoặc căn bệnh cụ thể đang gây ra chứng mất trí của họ. các triệu chứng có thể bao gồm: 1. sa sút trí nhớ và khả năng nhận thức hầu hết trí nhớ và các khả năng nhận thức khác của mọi người dần trở nên kém đi khi về già. lúc này cơ thể không còn có thể phản ứng nhanh và linh hoạt với các tình huống, đây được xem là một phần tự nhiên của quá trình lão hóa. việc nhận ra và giải quyết các vấn đề phát sinh thường khó khăn hơn nhưng họ vẫn có thể tiếp cận với những kiến thức đã tiếp thu được trong nhiều năm và luôn có định hướng, độc lập và có thể đưa ra những phán đoán đúng đắn. điều này khác với những người bị bệnh alzheimer. một trong những dấu hiệu phổ biến nhất của bệnh, đặc biệt ở giai đoạn đầu, là người bệnh không nhớ các thông tin đã biết gần đây, trí nhớ ngắn hạn bị ảnh hưởng nhiều hơn. điều này có nghĩa là người bệnh quên đi những sự kiện vừa xảy ra, nhưng vẫn có thể nhớ lại những trải nghiệm từ lâu. nhưng trí nhớ dài hạn cũng mất dần theo thời gian. khả năng tập trung cũng bị ảnh hưởng, khiến việc duy trì định hướng theo thời gian và không gian ngày càng khó khăn hơn. việc liên kết những điều đã học trong quá khứ với các tình huống hoặc ấn tượng mới trở nên khó khăn hơn. sẽ đến lúc không còn có thể hiểu bối cảnh hoặc đánh giá thông tin, hình thành ý kiến và sau đó quyết định phải làm gì. ví dụ, một bệnh nhân ở giai đoạn cuối có thể thấy bên ngoài trời đang mưa và có thể diễn đạt điều này bằng lời. nhưng họ sẽ không thể đưa ra kết luận cho hành động của chính mình. sau đó, họ có thể ra ngoài mua sắm bằng một chiếc áo thun thay vì mua áo mưa hoặc ô. 2. khó khăn diễn đạt bằng ngôn ngữ người bệnh alzheimer có thể gặp khó khăn khi theo dõi hay tham gia một cuộc trò chuyện. họ có thể dừng lại khi đang trò chuyện và không có ý tưởng để làm sao tiếp tục cuộc trò chuyện hoặc có thể lặp lại những câu chuyện trước đó đã nói. khi triệu chứng của bệnh tiến triển, việc nhớ đúng các từ trở nên khó khăn hơn và thay vào đó người bệnh sử dụng các từ hoặc cụm từ không phù hợp với ngữ cảnh. điều này khiến người khác khó hiểu họ. và những người bị sa sút trí tuệ cũng quên nghĩa của từ và sau đó thường không còn có thể theo dõi các cuộc trò chuyện. điều này khiến việc giao tiếp bằng lời nói của họ ngày càng khó hơn. 3. thay đổi hành vi, tâm trạng, tính cách nhiều bệnh nhân phải trải qua những thay đổi đáng chú ý trong hành vi. tâm trạng và tính cách của người bệnh có thể thay đổi. họ có thể trở nên bối rối, nghi ngờ, chán nản, sợ hãi hay lo lắng. họ có thể dễ dàng nổi nóng ở nhà, tại nơi làm việc, khi ở với bạn bè hoặc ở những nơi mà họ cảm thấy không thoải mái. bên cạnh đó, người bệnh có thể bắt đầu từ bỏ các sở thích, các hoạt động xã hội, các dự án công việc hay các môn thể thao.người bệnh cũng có thể ngại giao tiếp xã hội do các thay đổi mà họ gặp phải. đôi khi họ cảm thấy mệt mỏi vì công việc, gia đình và trách nhiệm xã hội. một số người có thể cảm nhận các thay đổi về khả năng phát triển và thực hiện kế hoạch hay làm việc với các con số. vì vậy những việc được xem là quen thuộc khi trước sẽ dần trở nên khó khăn và xa lạ hơn với người bệnh. ví dụ như không thể lái xe đến một địa điểm dù trước đó đã đi rất nhiều lần, không thể tính được hóa đơn hay là gặp khó khăn trong việc đọc hiểu, không biết sử dụng các đồ vật trong gia đình 4. nhầm lẫn thời gian hoặc địa điểm người bệnh alzheimer có thể quên mất ngày tháng, mùa và sự chuyển biến thời gian. ví dụ đang đứng ở một địa điểm nhưng họ không nhớ làm sao mình đến đây, mình đến đây để làm gì, bên cạnh đó, người bệnh cũng gặp nhiều khó khăn trong việc cố hiểu một sự kiện xảy ra tức thời, ngay lúc đó. 5. đặt đồ vật sai vị trí và không thể nhớ lại mình đã từng làm gì bệnh nhân có thể đặt đồ vật ở những nơi khác lạ. họ có thể làm mất đồ vật và không thể nhớ để tìm lại các đồ vật đó. vì vậy mà không ít trường hợp người bệnh cho rằng ai đó đã ăn cắp đồ của mình, và việc này sẽ xảy ra với tần suất nhiều hơn trong tương lai.","sa sút trí nhớ
khó hiểu
thay đổi hành vi
bối rối
nghi ngờ
chán nản
sợ hãi
lo lắng
nổi nóng
bắt đầu từ bỏ
ngủ mơ
không nhớ ngày tháng
không nhớ làm gì
không nhớ đặt đồ vật
không nhớ tìm lại đồ vật
không nhớ sử dụng đồ vật
không nhớ lái xe
không nhớ tính hóa đơn
không nhớ đọc hiểu",Không có,không có,G30,Bệnh Alzheimer và các dạng khác của bệnh Alzheimer,0.79
bạch cầu ái kiềm tăng,"nhiệt độ cơ thể khoảng 38 độ c cơ thể cảm thấy yếu, mệt mỏi nhiễm trùng tái phát thường xuyên ngứa viêm da các khớp bị sưng hoặc đau","mệt mỏi
nhiễm trùng tái phát
viêm da
các khớp bị sưng
ngứa
các khớp bị đau",Không có,thường xuyên,C94.0,Bệnh bạch cầu dạng tăng hồng cầu,0.6769
