query,predicted_labels
"Dạo này tôi hay bị vã mồ hôi, chóng mặt, buồn nôn, mất ngủ và kinh nguyệt không đều. Tôi còn bị tiểu nhiều lần, giảm ham muốn và đau xót khi quan hệ.","amh thấp, babesia (nhiễm trùng do babesia), mất kinh, chấn thương sọ não, đau đầu vận mạch"
"Bác sĩ ơi, tôi bị sốt, chán ăn, sụt cân và vàng da. Gần đây tôi thấy căng tức nặng ở vùng hạ sườn phải, ấn vào rất đau nhói.","áp xe gan, suy thận, hội chứng dressler, nang tuyến bartholin (viêm tuyến bartholin), lao hệ thần kinh"
"Vùng hậu môn của tôi bị sưng đỏ, mềm và đau nhói dữ dội, thi thoảng có dính máu. Tôi còn thấy đau bụng, người mệt mỏi, ớn lạnh và sốt hầm hập.","áp xe hậu môn, nhiễm trùng hậu sản, hội chứng sốc nhiễm độc, nhiễm nấm candida (nhiễm trùng nấm men), viêm khớp nhiễm khuẩn"
"Má tôi tự nhiên bị sưng to, cảm giác căng tức và đau nhức dữ dội. Nhiều lúc tôi còn bị sốt và thấy hơi chèn ép khó thở.","áp xe má, vỡ túi ngực, suy thận, nấm da (hắc lào), chèn ép khoang dưới mỏm cùng vai"
"Tôi bị nhức đầu kinh khủng, cổ cứng đơ, sốt và rất mệt mỏi. Mắt tôi nhìn mờ, nhìn một thành hai, tay chân thì yếu đi và có lúc bị nói lắp bắp.","áp xe não, u mềm treo, hội chứng urê huyết tán huyết, chắp mắt, thủy đậu"
"Tôi bị sốt rất cao, ho khạc ra mủ nhiều lần và đau tức vùng ngực. Dạo này tôi cũng đi tiểu ít hơn bình thường và nước tiểu có màu sẫm.","lao màng phổi, viêm họng hạt, nhiễm lậu cầu, nấm da (hắc lào), suy tim trái"
"Vành tai tôi nổi một cục nang to phình ra bất thường, sưng tấy và đau nhức. Chỗ đó ngứa ngáy và thỉnh thoảng tôi còn thấy ù tai rất khó chịu.","áp xe rò luân nhĩ, nấm da (hắc lào), viêm đầu ti, vỡ túi ngực, viêm bao quy đầu"
"Bầu ngực tôi bị sưng tấy, đỏ ửng, sờ vào thấy nóng và rất đau. Núm vú còn rỉ dịch mủ, kèm theo người hay bị ớn lạnh, sốt và mệt mỏi.","nhiễm trùng hậu sản, hội chứng sốc nhiễm độc, nang tuyến bartholin (viêm tuyến bartholin), hội chứng sudeck (loạn dưỡng giao cảm phản xạ), viêm bờ mi mắt"
"Dạo này tôi rất hay quên, không nhớ mình đã đặt đồ vật ở đâu hay ra đường định làm gì. Đầu óc hay bối rối, tính tình dễ nổi nóng, hay nghi ngờ và đôi khi không nhớ cả ngày tháng hay cách tính toán.","alzheimer, lang ben, viêm đầu ti, viêm xoang, mất ngủ mãn tính"
"Người tôi lúc nào cũng yếu ớt mệt mỏi, da bị viêm ngứa, các khớp thì sưng đau. Tôi cũng rất hay bị ốm và nhiễm trùng tái đi tái lại.","loét hành tá tràng, nhiễm nấm candida (nhiễm trùng nấm men), nấm da (hắc lào), bỏng, nang nước thừng tinh ở trẻ em"
"Tôi hay bị sốt cao, ho, khó thở và chóng mặt. Trên da xuất hiện các vết bầm xuất huyết, hay bị chảy máu cam, máu chân răng và nổi hạch to ở cổ.","bạch cầu cấp, u mềm treo, ung thư lá lách, u lympho tế bào t, sốt rét"
"Tôi hay bị sốt, ớn lạnh, đổ mồ hôi và tim đập nhanh hồi hộp. Tôi thường xuyên thấy mệt mỏi, đau khớp, hay bị loét miệng tái phát và đi tiểu rát.","bạch cầu giảm, thiếu máu, trụy tim, nhiễm nấm candida (nhiễm trùng nấm men), brucella"
"Gần đây tôi bị sụt cân mất kiểm soát, hay bị khó thở, thở khò khè. Mắt tôi nhìn mờ đi và da rất dễ bị phát ban, bầm tím tay chân.","hội chứng urê huyết tán huyết, ung thư hạch bạch huyết, u mềm treo, dị ứng sữa, dị ứng thực phẩm"
"Tôi bị sốt, sổ mũi ra mủ nhầy, cổ họng sưng đau nghẹn. Người mệt mỏi lả đi, ho khàn tiếng và vùng dưới hàm, hạch cổ sưng nề làm tôi rất khó thở.","bạch hầu, viêm thanh quản cấp tính, viêm phổi, ung thư thanh quản, bạch hầu thanh quản"
"Bàn chân con tôi bị cong gập vào trong, nếp nhăn lòng bàn chân sâu, vòm chân nhô cao bất thường và bắp chân có vẻ ngắn, teo lại. Khớp mắt cá chân của cháu cũng khá cứng.","hội chứng urê huyết tán huyết, hội chứng goodpasture, hội chứng sudeck (loạn dưỡng giao cảm phản xạ), block nhánh trái, chắp mắt"
"Bàn chân và các ngón chân của tôi dạo này hay bị tê liệt, mất cảm giác, bước đi cứ bị rũ thõng xuống rất khó khăn.","bệnh động mạch cảnh, viêm dây thần kinh, hội chứng volkmann, u tủy sống, hội chứng goodpasture"
"Bàn chân tôi bị vẹo biến dạng, gập lòng khó cử động, cơ bắp cẳng chân có dấu hiệu bị teo yếu và khớp gối khá cứng đơ.","hội chứng goodpasture, chắp mắt, ho gà, thiếu máu, ung thư biểu mô tiểu thùy tại chỗ"
"Tôi hay bị mắc tiểu đột ngột, cứ có cảm giác là phải chạy đi vệ sinh ngay lập tức nếu không sợ rò rỉ nước tiểu ra quần, một ngày đi rất nhiều lần.","lang ben, nhiễm trùng tai, thận bột, chốc mép, hẹp hậu môn ở trẻ em"
"Sau khi sinh tôi bị chảy máu liên tục rất nhiều, người lạnh toát, vã mồ hôi, da xanh xao. Mạch đập nhanh, bụng vùng tử cung to ra và sờ thấy mềm nhão.","băng huyết sau sinh, u mỡ, hội chứng sudeck (loạn dưỡng giao cảm phản xạ), trụy tim, hội chứng eisenmenger"
"Dạo này tôi hay mệt mỏi, chán ăn, da nhợt nhạt và hay đổ mồ hôi đêm. Tôi dễ bị chảy máu chân răng, bầm tím trên da và sờ thấy hạch sưng ở vùng cổ.","bệnh bạch cầu, hội chứng urê huyết tán huyết, u mềm treo, tiền mãn kinh, ung thư lá lách"
"Tôi hay bị hụt hơi, khó thở khi vận động gắng sức và cảm thấy mệt mỏi, hồi hộp. Hai chân tôi bị phù lên và thỉnh thoảng có những cơn đau tức ngực, đau hông phải hoặc ngất xỉu.","bệnh cơ tim giãn, block nhánh trái, block nhánh phải, block nhĩ thất, bệnh cơ tim"
"Tôi hay bị khó thở, hụt hơi, nhịp tim đập nhanh không đều và hồi hộp đánh trống ngực. Bụng và hai chân tôi sưng phù to lên, thỉnh thoảng tôi còn bị đau tức ngực, chóng mặt.","block nhánh phải, bệnh cơ tim giãn, u mềm treo, trụy tim, nhịp nhanh thất"
"Dạo này tôi luôn thấy mệt mỏi, khó thở và đau ngực mỗi khi hoạt động. Bụng tôi sưng to, hay đi tiểu đêm và có lúc bị ngất xỉu.","huyết khối tĩnh mạch sâu, block nhánh tim, viêm phổi, block nhánh trái, hẹp van động mạch chủ"
"Tôi hay bị khó thở, chóng mặt và tim đập rối loạn bất thường. Hai chân tôi cũng bị phù nề lên và thỉnh thoảng có cơn ngất xỉu, choáng váng.","rò mao mạch, xuất huyết dạ dày, trụy tim, block nhánh tim, phình tách động mạch chủ"
"Đột nhiên tôi bị đau đầu, chóng mặt, mắt nhìn mờ rồi mất thị lực tạm thời. Một bên mặt bị tê dại, mất cảm giác và chân tay bỗng dưng yếu liệt khó cử động.","bệnh động mạch cảnh, u mềm treo, phình động mạch ở cổ, thiếu máu, hội chứng urê huyết tán huyết"
"Mỗi khi đi bộ nhanh hay căng thẳng, tôi lại bị đau thắt ngực trái như bị bóp nghẹt, đè nặng. Cơn đau làm tôi thở hụt hơi, chóng mặt, hồi hộp và cảm giác như muốn ngất.","bệnh mạch vành, trụy tim, u mềm treo, hẹp mạch vành, bệnh cơ tim giãn"
"Tự nhiên tôi bị đau ngực đột ngột và dữ dội, cơn đau lan ra vùng lưng và bụng. Tôi cảm thấy khó thở, chóng mặt lâng lâng và nuốt thức ăn hơi nghẹn.","cúm a h5, phình động mạch chủ ngực, u mềm treo, lao màng phổi, nhịp nhanh nhĩ"
"Cơ thể tôi đổ mồ hôi quá nhiều, tay và nách lúc nào cũng đầm đìa nước dù không làm việc nặng hay trời nóng, gây rất nhiều bất tiện trong sinh hoạt.","bệnh mạch vành, lang ben, nấm da (hắc lào), cúm a h1n1, viêm phổi"
"Cháu nhà tôi da dẻ hay nhợt nhạt, hơi vàng vọt và lúc nào cũng lừ đừ mệt mỏi. Cháu chậm lớn, thiếu cân và ăn uống rất kém.","nhiễm trùng huyết, trụy tim, hội chứng fanconi, tim bẩm sinh ebstein, chắp mắt"
