query,predicted_labels
"Dạo này tôi hay bị vã mồ hôi, chóng mặt, buồn nôn, mất ngủ và kinh nguyệt không đều. Tôi còn bị tiểu nhiều lần, giảm ham muốn và đau xót khi quan hệ.","amh thấp, babesia (nhiễm trùng do babesia), chấn thương sọ não, đau đầu vận mạch, chóng mặt kịch phát lành tính"
"Bác sĩ ơi, tôi bị sốt, chán ăn, sụt cân và vàng da. Gần đây tôi thấy căng tức nặng ở vùng hạ sườn phải, ấn vào rất đau nhói.","áp xe gan, hội chứng dressler, lao hệ thần kinh, lỵ amip cấp, nang tuyến bartholin (viêm tuyến bartholin)"
"Vùng hậu môn của tôi bị sưng đỏ, mềm và đau nhói dữ dội, thi thoảng có dính máu. Tôi còn thấy đau bụng, người mệt mỏi, ớn lạnh và sốt hầm hập.","sốt rét, áp xe hậu môn, babesia (nhiễm trùng do babesia), cúm a h1n1, hội chứng sốc nhiễm độc"
"Má tôi tự nhiên bị sưng to, cảm giác căng tức và đau nhức dữ dội. Nhiều lúc tôi còn bị sốt và thấy hơi chèn ép khó thở.","áp xe má, bệnh thấp tim, bỏng, hội chứng dressler, hội chứng sốc nhiễm độc"
"Tôi bị nhức đầu kinh khủng, cổ cứng đơ, sốt và rất mệt mỏi. Mắt tôi nhìn mờ, nhìn một thành hai, tay chân thì yếu đi và có lúc bị nói lắp bắp.","áp xe não, thủy đậu, aids, bệnh quai bị, cận thị"
"Tôi bị sốt rất cao, ho khạc ra mủ nhiều lần và đau tức vùng ngực. Dạo này tôi cũng đi tiểu ít hơn bình thường và nước tiểu có màu sẫm.","lao màng phổi, bạch hầu thanh quản, bệnh sởi, cúm a h1n1, cảm lạnh"
"Vành tai tôi nổi một cục nang to phình ra bất thường, sưng tấy và đau nhức. Chỗ đó ngứa ngáy và thỉnh thoảng tôi còn thấy ù tai rất khó chịu.","áp xe rò luân nhĩ, nấm da (hắc lào), nang nước thừng tinh ở trẻ em, nhiễm nấm candida (nhiễm trùng nấm men), phù kết mạc"
"Bầu ngực tôi bị sưng tấy, đỏ ửng, sờ vào thấy nóng và rất đau. Núm vú còn rỉ dịch mủ, kèm theo người hay bị ớn lạnh, sốt và mệt mỏi.","hội chứng sốc nhiễm độc, nhiễm nấm candida (nhiễm trùng nấm men), nhiễm trùng hậu sản, nang tuyến bartholin (viêm tuyến bartholin), viêm họng xung huyết"
"Dạo này tôi rất hay quên, không nhớ mình đã đặt đồ vật ở đâu hay ra đường định làm gì. Đầu óc hay bối rối, tính tình dễ nổi nóng, hay nghi ngờ và đôi khi không nhớ cả ngày tháng hay cách tính toán.","alzheimer, bệnh mạch vành, bệnh thấp tim, chắp mắt, hoảng sợ khi ngủ (hoảng sợ ban đêm)"
"Người tôi lúc nào cũng yếu ớt mệt mỏi, da bị viêm ngứa, các khớp thì sưng đau. Tôi cũng rất hay bị ốm và nhiễm trùng tái đi tái lại.","loét hành tá tràng, bỏng, hội chứng sốc nhiễm độc, nang nước thừng tinh ở trẻ em, nhiễm nấm candida (nhiễm trùng nấm men)"
"Tôi hay bị sốt cao, ho, khó thở và chóng mặt. Trên da xuất hiện các vết bầm xuất huyết, hay bị chảy máu cam, máu chân răng và nổi hạch to ở cổ.","bạch cầu cấp, cúm a h1n1, bạch hầu thanh quản, hẹp van hai lá, hội chứng behcet"
"Tôi hay bị sốt, ớn lạnh, đổ mồ hôi và tim đập nhanh hồi hộp. Tôi thường xuyên thấy mệt mỏi, đau khớp, hay bị loét miệng tái phát và đi tiểu rát.","bạch cầu giảm, brucella, cúm a h1n1, hồng ban đa dạng, hội chứng behcet"
"Gần đây tôi bị sụt cân mất kiểm soát, hay bị khó thở, thở khò khè. Mắt tôi nhìn mờ đi và da rất dễ bị phát ban, bầm tím tay chân.","hội chứng urê huyết tán huyết, ung thư hạch bạch huyết, bạch cầu tăng, dị ứng sữa, hở van 2 lá"
"Tôi bị sốt, sổ mũi ra mủ nhầy, cổ họng sưng đau nghẹn. Người mệt mỏi lả đi, ho khàn tiếng và vùng dưới hàm, hạch cổ sưng nề làm tôi rất khó thở.","bạch hầu, viêm phổi, viêm thanh quản cấp tính, bạch hầu thanh quản, cúm a h1n1"
"Bàn chân con tôi bị cong gập vào trong, nếp nhăn lòng bàn chân sâu, vòm chân nhô cao bất thường và bắp chân có vẻ ngắn, teo lại. Khớp mắt cá chân của cháu cũng khá cứng.","hội chứng urê huyết tán huyết, block nhánh trái, chán ăn thần kinh (biếng ăn tâm lý), chắp mắt, hội chứng goodpasture"
"Bàn chân và các ngón chân của tôi dạo này hay bị tê liệt, mất cảm giác, bước đi cứ bị rũ thõng xuống rất khó khăn.","bệnh động mạch cảnh, hội chứng volkmann, u tủy sống, viêm dây thần kinh, bệnh xơ cứng bì toàn thể"
"Bàn chân tôi bị vẹo biến dạng, gập lòng khó cử động, cơ bắp cẳng chân có dấu hiệu bị teo yếu và khớp gối khá cứng đơ.","chắp mắt, giãn tĩnh mạch thừng tinh, gãy xương, ho gà, hội chứng goodpasture"
